ID,Temperature,Activity,pH,Study,CNs,Rsoil,Rscaled,Biomass,Bscaled,Ctot,Ctot.scaled,DOC,DOC.scaled,W,WHC,Clay,Silt,Type,Comment,WHC_100_pred,Time
15,277.15,0.0,3.99,"Diakova et al., 2016",21.46,3.05,0.19,85.16,1.00,38.30,1.00,142.63,1.00,91.87,80,,,Laboratory,,99.142783,1
16,277.15,0.4,4.8,"Diakova et al., 2016",23.82,17.01,0.50,47.91,1.00,5.10,1.00,17.54,1.00,31.48,80,,,Laboratory,,43.630059,1
16,277.15,0.4,4.8,"Diakova et al., 2016",23.82,18.34,0.42,47.91,1.00,5.10,1.00,17.54,1.00,31.48,80,,,Laboratory,,43.630059,1
16,277.15,0.4,4.8,"Diakova et al., 2016",23.82,19.89,0.44,47.91,1.00,5.10,1.00,17.54,1.00,31.48,80,,,Laboratory,,43.630059,1
16,277.15,0.4,4.8,"Diakova et al., 2016",23.82,20.30,0.47,47.91,1.00,5.10,1.00,17.54,1.00,31.48,80,,,Laboratory,,43.630059,1
14,285.15,0.5,4.09,"Diakova et al., 2016",35.63,191.88,1.00,359.71,1.00,35.60,1.00,103.71,1.00,70.61,80,,,Laboratory,,75.605344,1
14,285.15,0.6,4.09,"Diakova et al., 2016",35.63,206.83,1.00,359.71,1.00,35.60,1.00,103.71,1.00,70.61,80,,,Laboratory,,75.605344,1
14,285.15,0.6,4.09,"Diakova et al., 2016",35.63,203.94,1.00,359.71,1.00,35.60,1.00,103.71,1.00,70.61,80,,,Laboratory,,75.605344,1
14,285.15,0.4,4.09,"Diakova et al., 2016",35.63,161.26,1.00,359.71,1.00,35.60,1.00,103.71,1.00,70.61,80,,,Laboratory,,75.605344,1
15,285.15,0.4,3.99,"Diakova et al., 2016",21.46,32.07,1.00,85.16,1.00,38.30,1.00,142.63,1.00,91.87,80,,,Laboratory,,99.142783,1
15,285.15,0.3,3.99,"Diakova et al., 2016",21.46,21.69,1.00,85.16,1.00,38.30,1.00,142.63,1.00,91.87,80,,,Laboratory,,99.142783,1
15,285.15,0.6,3.99,"Diakova et al., 2016",21.46,50.86,1.00,85.16,1.00,38.30,1.00,142.63,1.00,91.87,80,,,Laboratory,,99.142783,1
15,285.15,0.2,3.99,"Diakova et al., 2016",21.46,16.42,1.00,85.16,1.00,38.30,1.00,142.63,1.00,91.87,80,,,Laboratory,,99.142783,1
16,285.15,0.7,4.8,"Diakova et al., 2016",23.82,33.92,1.00,47.91,1.00,5.10,1.00,17.54,1.00,31.48,80,,,Laboratory,,43.630059,1
16,285.15,0.9,4.8,"Diakova et al., 2016",23.82,43.51,1.00,47.91,1.00,5.10,1.00,17.54,1.00,31.48,80,,,Laboratory,,43.630059,1
16,285.15,0.9,4.8,"Diakova et al., 2016",23.82,44.81,1.00,47.91,1.00,5.10,1.00,17.54,1.00,31.48,80,,,Laboratory,,43.630059,1
16,285.15,0.9,4.8,"Diakova et al., 2016",23.82,43.32,1.00,47.91,1.00,5.10,1.00,17.54,1.00,31.48,80,,,Laboratory,,43.630059,1
14,293.15,0.8,4.09,"Diakova et al., 2016",35.63,299.64,1.56,359.71,1.00,35.60,1.00,103.71,1.00,70.61,80,,,Laboratory,,75.605344,1
14,293.15,1.0,4.09,"Diakova et al., 2016",35.63,346.80,1.68,359.71,1.00,35.60,1.00,103.71,1.00,70.61,80,,,Laboratory,,75.605344,1
14,293.15,0.6,4.09,"Diakova et al., 2016",35.63,215.46,1.06,359.71,1.00,35.60,1.00,103.71,1.00,70.61,80,,,Laboratory,,75.605344,1
14,293.15,1.0,4.09,"Diakova et al., 2016",35.63,371.35,2.30,359.71,1.00,35.60,1.00,103.71,1.00,70.61,80,,,Laboratory,,75.605344,1
15,293.15,0.8,3.99,"Diakova et al., 2016",21.46,65.68,2.05,85.16,1.00,38.30,1.00,142.63,1.00,91.87,80,,,Laboratory,,99.142783,1
15,293.15,0.8,3.99,"Diakova et al., 2016",21.46,64.56,2.98,85.16,1.00,38.30,1.00,142.63,1.00,91.87,80,,,Laboratory,,99.142783,1
15,293.15,0.6,3.99,"Diakova et al., 2016",21.46,54.01,1.06,85.16,1.00,38.30,1.00,142.63,1.00,91.87,80,,,Laboratory,,99.142783,1
15,293.15,0.7,3.99,"Diakova et al., 2016",21.46,57.26,3.49,85.16,1.00,38.30,1.00,142.63,1.00,91.87,80,,,Laboratory,,99.142783,1
16,293.15,1.7,4.8,"Diakova et al., 2016",23.82,81.66,2.41,47.91,1.00,5.10,1.00,17.54,1.00,31.48,80,,,Laboratory,,43.630059,1
16,293.15,1.6,4.8,"Diakova et al., 2016",23.82,78.35,1.80,47.91,1.00,5.10,1.00,17.54,1.00,31.48,80,,,Laboratory,,43.630059,1
16,293.15,1.4,4.8,"Diakova et al., 2016",23.82,67.53,1.51,47.91,1.00,5.10,1.00,17.54,1.00,31.48,80,,,Laboratory,,43.630059,1
16,293.15,1.4,4.8,"Diakova et al., 2016",23.82,65.13,1.50,47.91,1.00,5.10,1.00,17.54,1.00,31.48,80,,,Laboratory,,43.630059,1
17,277.15,0.3,4.09,"Diakova et al., 2016",35.63,95.55,7.79,356.67,2.62,35.30,0.92,116.92,1.06,70.61,80,,,Laboratory,,73.47450268,60
17,277.15,0.1,4.09,"Diakova et al., 2016",35.63,29.23,2.08,364.66,2.35,35.45,0.93,143.69,1.20,70.61,80,,,Laboratory,,74.5186942,60
17,277.15,0.5,4.09,"Diakova et al., 2016",35.63,91.63,5.32,189.19,2.70,35.32,0.92,177.76,1.25,70.61,80,,,Laboratory,,73.57502751,60
17,277.15,0.2,4.09,"Diakova et al., 2016",35.63,64.92,6.31,385.82,3.06,35.37,0.92,137.09,1.13,70.61,80,,,Laboratory,,73.95402239,60
17,285.15,0.8,4.09,"Diakova et al., 2016",35.63,315.96,6.88,419.62,2.98,34.63,0.91,113.89,1.05,91.87,80,,,Laboratory,,68.91290096,60
17,285.15,0.9,4.09,"Diakova et al., 2016",35.63,308.91,9.66,356.63,2.48,34.67,0.91,107.63,0.90,91.87,80,,,Laboratory,,69.16458645,60
17,285.15,0.8,4.09,"Diakova et al., 2016",35.63,313.36,15.85,375.05,2.97,34.68,0.91,112.06,0.92,91.87,80,,,Laboratory,,69.2322958,60
17,285.15,0.7,4.09,"Diakova et al., 2016",35.63,292.88,12.16,411.25,3.34,34.76,0.91,107.75,0.88,91.87,80,,,Laboratory,,69.74282828,60
17,293.15,1.6,4.09,"Diakova et al., 2016",35.63,550.93,6.15,354.95,4.60,34.31,0.90,126.96,0.91,31.48,80,,,Laboratory,,66.88788638,60
17,293.15,1.6,4.09,"Diakova et al., 2016",35.63,658.02,5.71,422.95,4.21,34.01,0.90,136.24,0.96,31.48,80,,,Laboratory,,65.09172911,60
17,293.15,1.0,4.09,"Diakova et al., 2016",35.63,345.46,,354.87,,34.74,,145.57,,31.48,80,,,Laboratory,,69.65946251,60
17,293.15,0.1,4.09,"Diakova et al., 2016",35.63,22.07,0.34,367.71,3.49,34.33,0.90,145.91,1.03,31.48,80,,,Laboratory,,67.01404471,60
18,277.15,0.1,3.99,"Diakova et al., 2016",21.46,12.26,1.00,136.09,1.00,38.26,1.00,110.29,1.00,8.13,80,,,Laboratory,,98.77430028,60
18,277.15,0.1,3.99,"Diakova et al., 2016",21.46,14.05,1.00,155.26,1.00,38.26,1.00,119.49,1.00,8.13,80,,,Laboratory,,98.72115376,60
18,277.15,0.2,3.99,"Diakova et al., 2016",21.46,17.22,1.00,70.14,1.00,38.25,1.00,141.77,1.00,8.13,80,,,Laboratory,,98.67870784,60
18,277.15,0.1,3.99,"Diakova et al., 2016",21.46,10.29,1.00,126.22,1.00,38.27,1.00,121.68,1.00,8.13,80,,,Laboratory,,98.79329678,60
18,285.15,0.3,3.99,"Diakova et al., 2016",21.46,45.91,1.00,140.73,1.00,38.14,1.00,108.97,1.00,8.13,80,,,Laboratory,,97.57152305,60
18,285.15,0.2,3.99,"Diakova et al., 2016",21.46,31.98,1.00,143.86,1.00,38.19,1.00,119.20,1.00,8.13,80,,,Laboratory,,98.07908136,60
18,285.15,0.2,3.99,"Diakova et al., 2016",21.46,19.78,1.00,126.27,1.00,38.23,1.00,121.66,1.00,8.13,80,,,Laboratory,,98.42180663,60
18,285.15,0.2,3.99,"Diakova et al., 2016",21.46,24.08,1.00,123.09,1.00,38.22,1.00,122.58,1.00,8.13,80,,,Laboratory,,98.29819748,60
18,293.15,1.2,3.99,"Diakova et al., 2016",21.46,89.55,1.00,77.24,1.00,38.00,1.00,140.20,1.00,8.13,80,,,Laboratory,,96.11979697,60
18,293.15,1.1,3.99,"Diakova et al., 2016",21.46,115.33,1.00,100.39,1.00,37.95,1.00,141.64,1.00,8.13,80,,,Laboratory,,95.62543707,60
18,293.15,,3.99,"Diakova et al., 2016",21.46,,,,,38.01,,,,8.13,80,,,Laboratory,,96.28111603,60
18,293.15,0.6,3.99,"Diakova et al., 2016",21.46,64.19,1.00,105.42,1.00,38.06,1.00,141.36,1.00,8.13,80,,,Laboratory,,96.73708467,60
19,277.15,0.5,4.8,"Diakova et al., 2016",23.82,33.51,2.73,66.67,0.49,5.01,0.13,16.17,0.15,68.52,80,,,Laboratory,,43.33717141,60
19,277.15,0.5,4.8,"Diakova et al., 2016",23.82,33.61,2.39,68.91,0.44,5.01,0.13,12.41,0.10,68.52,80,,,Laboratory,,43.33217408,60
19,277.15,0.5,4.8,"Diakova et al., 2016",23.82,34.19,1.99,66.58,0.95,5.00,0.13,11.35,0.08,68.52,80,,,Laboratory,,43.31360097,60
19,277.15,0.6,4.8,"Diakova et al., 2016",23.82,36.62,3.56,63.11,0.50,5.01,0.13,11.71,0.10,68.52,80,,,Laboratory,,43.33908787,60
19,285.15,1.9,4.8,"Diakova et al., 2016",23.82,111.35,2.43,57.65,0.41,4.79,0.13,15.36,0.14,68.52,80,,,Laboratory,,42.63959469,60
19,285.15,1.5,4.8,"Diakova et al., 2016",23.82,104.00,3.25,70.71,0.49,4.80,0.13,13.19,0.11,68.52,80,,,Laboratory,,42.65732674,60
19,285.15,1.5,4.8,"Diakova et al., 2016",23.82,108.61,5.49,73.52,0.58,4.78,0.13,12.20,0.10,68.52,80,,,Laboratory,,42.61204579,60
19,285.15,1.6,4.8,"Diakova et al., 2016",23.82,106.72,4.43,66.28,0.54,4.80,0.13,12.94,0.11,68.52,80,,,Laboratory,,42.64773636,60
19,293.15,2.9,4.8,"Diakova et al., 2016",23.82,178.42,1.99,60.92,0.79,4.53,0.12,16.09,0.11,68.52,80,,,Laboratory,,41.74380356,60
19,293.15,3.7,4.8,"Diakova et al., 2016",23.82,205.20,1.78,56.04,0.56,4.50,0.12,15.53,0.11,68.52,80,,,Laboratory,,41.63460896,60
19,293.15,2.7,4.8,"Diakova et al., 2016",23.82,193.38,,70.86,,4.52,,12.23,,68.52,80,,,Laboratory,,41.72016928,60
19,293.15,3.6,4.8,"Diakova et al., 2016",23.82,199.59,3.11,55.90,0.53,4.51,0.12,13.74,0.10,68.52,80,,,Laboratory,,41.66758025,60
20,277.15,0.3,6.21,"Capek et al., 2015",23.70,60.69,0.48,174.07,1.00,9.64,1.00,28.18,1.00,35.55,50,,,Laboratory,,51.56593549,1
20,277.15,0.4,6.21,"Capek et al., 2015",23.70,64.13,0.47,174.07,1.00,9.64,1.00,28.18,1.00,35.55,50,,,Laboratory,,51.56593549,1
20,277.15,0.5,6.21,"Capek et al., 2015",23.70,87.89,0.58,174.07,1.00,9.64,1.00,28.18,1.00,35.55,50,,,Laboratory,,51.56593549,1
20,277.15,0.4,6.21,"Capek et al., 2015",23.70,69.46,0.51,174.07,1.00,9.64,1.00,28.18,1.00,35.55,50,,,Laboratory,,51.56593549,1
20,277.15,0.4,6.21,"Capek et al., 2015",23.70,71.57,0.47,174.07,1.00,9.64,1.00,28.18,1.00,50.91,80,,,Laboratory,,51.56593549,1
20,277.15,0.4,6.21,"Capek et al., 2015",23.70,71.63,0.53,174.07,1.00,9.64,1.00,28.18,1.00,50.91,80,,,Laboratory,,51.56593549,1
20,277.15,0.4,6.21,"Capek et al., 2015",23.70,72.56,1.02,174.07,1.00,9.64,1.00,28.18,1.00,50.91,80,,,Laboratory,,51.56593549,1
20,277.15,0.4,6.21,"Capek et al., 2015",23.70,76.77,0.52,174.07,1.00,9.64,1.00,28.18,1.00,50.91,80,,,Laboratory,,51.56593549,1
21,277.15,0.3,6.34,"Capek et al., 2015",30.89,3.12,0.31,10.57,1.00,3.31,1.00,3.76,1.00,15.79,50,,,Laboratory,,36.89191219,1
21,277.15,1.1,6.34,"Capek et al., 2015",30.89,11.16,1.57,10.57,1.00,3.31,1.00,3.76,1.00,15.79,50,,,Laboratory,,36.89191219,1
21,277.15,0.9,6.34,"Capek et al., 2015",30.89,9.50,1.19,10.57,1.00,3.31,1.00,3.76,1.00,15.79,50,,,Laboratory,,36.89191219,1
21,277.15,0.3,6.34,"Capek et al., 2015",30.89,3.11,0.36,10.57,1.00,3.31,1.00,3.76,1.00,15.79,50,,,Laboratory,,36.89191219,1
21,277.15,0.4,6.34,"Capek et al., 2015",30.89,4.69,0.55,10.57,1.00,3.31,1.00,3.76,1.00,22.71,80,,,Laboratory,,36.89191219,1
21,277.15,0.5,6.34,"Capek et al., 2015",30.89,4.93,0.65,10.57,1.00,3.31,1.00,3.76,1.00,22.71,80,,,Laboratory,,36.89191219,1
21,277.15,0.5,6.34,"Capek et al., 2015",30.89,5.32,0.47,10.57,1.00,3.31,1.00,3.76,1.00,22.71,80,,,Laboratory,,36.89191219,1
21,277.15,0.5,6.34,"Capek et al., 2015",30.89,5.46,0.59,10.57,1.00,3.31,1.00,3.76,1.00,22.71,80,,,Laboratory,,36.89191219,1
22,277.15,0.4,6.72,"Capek et al., 2015",22.54,0.93,0.57,2.21,1.00,0.48,1.00,1.22,1.00,4.90,50,,,Laboratory,,21.05802995,1
22,277.15,0.5,6.72,"Capek et al., 2015",22.54,1.12,0.49,2.21,1.00,0.48,1.00,1.22,1.00,4.90,50,,,Laboratory,,21.05802995,1
22,277.15,0.5,6.72,"Capek et al., 2015",22.54,1.09,0.76,2.21,1.00,0.48,1.00,1.22,1.00,4.90,50,,,Laboratory,,21.05802995,1
22,277.15,0.4,6.72,"Capek et al., 2015",22.54,0.88,0.37,2.21,1.00,0.48,1.00,1.22,1.00,4.90,50,,,Laboratory,,21.05802995,1
22,277.15,0.3,6.72,"Capek et al., 2015",22.54,0.73,0.78,2.21,1.00,0.48,1.00,1.22,1.00,12.55,80,,,Laboratory,,21.05802995,1
22,277.15,0.4,6.72,"Capek et al., 2015",22.54,0.92,0.81,2.21,1.00,0.48,1.00,1.22,1.00,12.55,80,,,Laboratory,,21.05802995,1
22,277.15,0.4,6.72,"Capek et al., 2015",22.54,0.97,0.66,2.21,1.00,0.48,1.00,1.22,1.00,12.55,80,,,Laboratory,,21.05802995,1
22,277.15,0.3,6.72,"Capek et al., 2015",22.54,0.76,0.59,2.21,1.00,0.48,1.00,1.22,1.00,12.55,80,,,Laboratory,,21.05802995,1
20,285.15,0.7,6.21,"Capek et al., 2015",23.70,126.71,1.00,174.07,1.00,9.64,1.00,28.18,1.00,35.55,50,,,Laboratory,,51.56593549,1
20,285.15,0.8,6.21,"Capek et al., 2015",23.70,137.89,1.00,174.07,1.00,9.64,1.00,28.18,1.00,35.55,50,,,Laboratory,,51.56593549,1
20,285.15,0.9,6.21,"Capek et al., 2015",23.70,152.28,1.00,174.07,1.00,9.64,1.00,28.18,1.00,35.55,50,,,Laboratory,,51.56593549,1
20,285.15,0.8,6.21,"Capek et al., 2015",23.70,137.22,1.00,174.07,1.00,9.64,1.00,28.18,1.00,35.55,50,,,Laboratory,,51.56593549,1
20,285.15,0.9,6.21,"Capek et al., 2015",23.70,153.19,1.00,174.07,1.00,9.64,1.00,28.18,1.00,50.91,80,,,Laboratory,,51.56593549,1
20,285.15,0.8,6.21,"Capek et al., 2015",23.70,134.65,1.00,174.07,1.00,9.64,1.00,28.18,1.00,50.91,80,,,Laboratory,,51.56593549,1
20,285.15,0.4,6.21,"Capek et al., 2015",23.70,71.43,1.00,174.07,1.00,9.64,1.00,28.18,1.00,50.91,80,,,Laboratory,,51.56593549,1
20,285.15,0.9,6.21,"Capek et al., 2015",23.70,148.84,1.00,174.07,1.00,9.64,1.00,28.18,1.00,50.91,80,,,Laboratory,,51.56593549,1
21,285.15,1.0,6.34,"Capek et al., 2015",30.89,10.14,1.00,10.57,1.00,3.31,1.00,3.76,1.00,15.79,50,,,Laboratory,,36.89191219,1
21,285.15,0.7,6.34,"Capek et al., 2015",30.89,7.10,1.00,10.57,1.00,3.31,1.00,3.76,1.00,15.79,50,,,Laboratory,,36.89191219,1
21,285.15,0.8,6.34,"Capek et al., 2015",30.89,7.95,1.00,10.57,1.00,3.31,1.00,3.76,1.00,15.79,50,,,Laboratory,,36.89191219,1
21,285.15,0.8,6.34,"Capek et al., 2015",30.89,8.72,1.00,10.57,1.00,3.31,1.00,3.76,1.00,15.79,50,,,Laboratory,,36.89191219,1
21,285.15,0.8,6.34,"Capek et al., 2015",30.89,8.51,1.00,10.57,1.00,3.31,1.00,3.76,1.00,22.71,80,,,Laboratory,,36.89191219,1
21,285.15,0.7,6.34,"Capek et al., 2015",30.89,7.62,1.00,10.57,1.00,3.31,1.00,3.76,1.00,22.71,80,,,Laboratory,,36.89191219,1
21,285.15,1.1,6.34,"Capek et al., 2015",30.89,11.26,1.00,10.57,1.00,3.31,1.00,3.76,1.00,22.71,80,,,Laboratory,,36.89191219,1
21,285.15,0.9,6.34,"Capek et al., 2015",30.89,9.24,1.00,10.57,1.00,3.31,1.00,3.76,1.00,22.71,80,,,Laboratory,,36.89191219,1
22,285.15,0.7,6.72,"Capek et al., 2015",22.54,1.64,1.00,2.21,1.00,0.48,1.00,1.22,1.00,4.90,50,,,Laboratory,,21.05802995,1
22,285.15,1.0,6.72,"Capek et al., 2015",22.54,2.27,1.00,2.21,1.00,0.48,1.00,1.22,1.00,4.90,50,,,Laboratory,,21.05802995,1
22,285.15,0.6,6.72,"Capek et al., 2015",22.54,1.44,1.00,2.21,1.00,0.48,1.00,1.22,1.00,4.90,50,,,Laboratory,,21.05802995,1
